"filename", "language", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"/Users/hikkary/projets/cours/cdn/config/corsConfig.js", "JavaScript", 7, 0, 0, 0, 0, 7
"/Users/hikkary/projets/cours/cdn/config/rateLimit.js", "JavaScript", 9, 0, 0, 0, 2, 11
"/Users/hikkary/projets/cours/cdn/config/uploadConfig.js", "JavaScript", 30, 0, 0, 6, 6, 42
"/Users/hikkary/projets/cours/cdn/index.js", "JavaScript", 47, 0, 0, 18, 25, 90
"/Users/hikkary/projets/cours/cdn/middlewares/auth.js", "JavaScript", 22, 0, 0, 0, 5, 27
"/Users/hikkary/projets/cours/cdn/middlewares/cacheMiddleware.js", "JavaScript", 24, 0, 0, 1, 8, 33
"/Users/hikkary/projets/cours/cdn/middlewares/forceHttps.js", "JavaScript", 7, 0, 0, 5, 1, 13
"/Users/hikkary/projets/cours/cdn/middlewares/monitoring.js", "JavaScript", 17, 0, 0, 4, 5, 26
"/Users/hikkary/projets/cours/cdn/package.json", "JSON", 0, 25, 0, 0, 1, 26
"/Users/hikkary/projets/cours/cdn/readme.md", "Markdown", 0, 0, 70, 0, 34, 104
"/Users/hikkary/projets/cours/cdn/routes/auth.js", "JavaScript", 28, 0, 0, 7, 7, 42
"/Users/hikkary/projets/cours/cdn/routes/imageRoutes.js", "JavaScript", 18, 0, 0, 2, 7, 27
"/Users/hikkary/projets/cours/cdn/routes/uploadRoutes.js", "JavaScript", 22, 0, 0, 10, 7, 39
"/Users/hikkary/projets/cours/cdn/services/imageOptimizer.js", "JavaScript", 66, 0, 0, 15, 12, 93
"/Users/hikkary/projets/cours/cdn/services/imageService.js", "JavaScript", 31, 0, 0, 15, 5, 51
"/Users/hikkary/projets/cours/cdn/services/optimizedImageService.js", "JavaScript", 56, 0, 0, 5, 12, 73
"/Users/hikkary/projets/cours/cdn/swagger.js", "JavaScript", 77, 0, 0, 95, 6, 178
"Total", "-", 461, 25, 70, 183, 143, 882